trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.75, 'e': 0.00020408163265306123}",25,16,17.01762408511397,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.75, 'e': 0.00019837333862328903}",20,6,-18.90614769161434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.75, 'e': 0.00019290123456790122}",20,10,18.246979943104122,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.75, 'e': 0.00018765246762994934}",35,20,27.173037547533806,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.75, 'e': 0.00018261504747991235}",20,3,24.651068796604598,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.75, 'e': 0.00017777777777777779}",25,16,14.518831176371476,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.75, 'e': 0.00017313019390581717}",20,4,15.369694595058577,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.75, 'e': 0.00016866250632484398}",25,13,21.19629600079386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.75, 'e': 0.0001643655489809336}",20,8,23.532795582093016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.75, 'e': 0.0001602307322544464}",25,15,15.505952448199128,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.75, 'e': 0.00015625}",20,11,17.197009022333113,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.75, 'e': 0.00015241579027587258}",30,8,37.100644164209434,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.75, 'e': 0.000148720999405116}",25,15,18.213092437097018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.75, 'e': 0.00014515894904920887}",25,13,21.055684747442164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.75, 'e': 0.0001417233560090703}",30,8,37.28277681673413,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.75, 'e': 0.0001384083044982699}",20,11,16.068131118966928,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.75, 'e': 0.00013520822065981613}",20,11,16.309845625032352,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.75, 'e': 0.0001321178491214163}",20,10,17.10012953373083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.75, 'e': 0.00012913223140495868}",20,15,2.3191032988198064,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.75, 'e': 0.00012624668602449185}",20,10,16.692221197812646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.75, 'e': 0.0001234567901234568}",25,1,32.02649433434806,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.75, 'e': 0.00012075836251660427}",30,18,23.997942940791503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.75, 'e': 0.00011814744801512288}",25,19,11.284575859803994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.75, 'e': 0.00011562030292519366}",30,19,22.86365701720974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.75, 'e': 0.00011317338162064282}",30,0,43.7629087257951,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.75, 'e': 0.00011080332409972299}",25,16,13.44212875875085,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.75, 'e': 0.00010850694444444444}",30,14,23.675962370978183,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.75, 'e': 0.00010628122010840685}",25,17,14.331077371707291,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.75, 'e': 0.00010412328196584757}",30,1,40.7410121671646,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.75, 'e': 0.00010203040506070809}",20,14,12.906719475932274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.75, 'e': 0.0001}",30,11,33.29742122004658,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.75, 'e': 9.802960494069208e-05}",20,4,30.685951146490222,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,14,21.689254504557343,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,8,20.551329188998192,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,9,19.229277801331527,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,44.150903350614385,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,8,35.58132332661627,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,11.676867028643006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,10,18.577944210248173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,10,36.143013236993696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,10,18.751397459310503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,17,13.252569741069413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
